frame.frame.encap_type,frame.frame.time,frame.frame.time_utc,frame.frame.time_epoch,frame.frame.offset_shift,frame.frame.time_delta,frame.frame.time_delta_displayed,frame.frame.time_relative,frame.frame.number,frame.frame.len,frame.frame.cap_len,frame.frame.marked,frame.frame.ignored,frame.frame.protocols,sll.sll.etype,sll.sll.ifindex,sll.sll.hatype,sll.sll.pkttype,sll.sll.halen,sll.sll.src.eth,sll.sll.unused,ip.ip.version,ip.ip.hdr_len,ip.ip.dsfield,ip.ip.dsfield_tree,ip.ip.len,ip.ip.id,ip.ip.flags,ip.ip.flags_tree,ip.ip.frag_offset,ip.ip.ttl,ip.ip.proto,ip.ip.checksum,ip.ip.checksum.status,ip.ip.src,ip.ip.addr,ip.ip.src_host,ip.ip.host,ip.ip.dst,ip.ip.dst_host,udp.udp.srcport,udp.udp.dstport,udp.udp.port,udp.udp.length,udp.udp.checksum,udp.udp.checksum.status,udp.udp.stream,udp.Timestamps,udp.udp.payload,dns.dns.id,dns.dns.flags,dns.dns.flags_tree,dns.dns.count.queries,dns.dns.count.answers,dns.dns.count.auth_rr,dns.dns.count.add_rr,dns.Queries,dns.Additional records,dns.Answers,dns.dns.unsolicited,dns.dns.response_to,dns.dns.time,dns.Authoritative nameservers
210,"Nov 14, 2025 21:56:53.890390000 +06","Nov 14, 2025 15:56:53.890390000 UTC",1763135813.890390000,0.000000000,0.000000000,0.000000000,0.000000000,1,106,106,0,0,sll:ethertype:ip:udp:dns,0x0800,2,1,4,6,40:9f:38:88:5e:ad,00:00,4,20,0x00,"{'ip.dsfield.dscp': '0', 'ip.dsfield.ecn': '0'}",86,0x0000,0x02,"{'ip.flags.rb': '0', 'ip.flags.df': '1', 'ip.flags.mf': '0'}",0,64,17,0xedcf,2,192.168.0.161,152.42.243.83,192.168.0.161,152.42.243.83,152.42.243.83,152.42.243.83,50207,53,53,66,0xdc42,2,0,"{'udp.time_relative': '0.000000000', 'udp.time_delta': '0.000000000'}",ea:4e:01:00:00:01:00:00:00:00:00:01:08:70:61:61:61:62:7a:70:69:06:74:75:6e:6e:65:6c:0a:64:65:76:67:6f:73:73:69:70:73:02:6d:65:00:00:0a:00:01:00:00:29:10:00:00:00:80:00:00:00,0xea4e,0x0100,"{'dns.flags.response': '0', 'dns.flags.opcode': '0', 'dns.flags.truncated': '0', 'dns.flags.recdesired': '1', 'dns.flags.z': '0', 'dns.flags.checkdisable': '0'}",1,0,0,1,"{'paaabzpi.tunnel.devgossips.me: type NULL, class IN': {'dns.qry.name': 'paaabzpi.tunnel.devgossips.me', 'dns.qry.name.len': '29', 'dns.count.labels': '4', 'dns.qry.type': '10', 'dns.qry.class': '0x0001'}}","{'<Root>: type OPT': {'dns.resp.name': '<Root>', 'dns.resp.type': '41', 'dns.rr.udp_payload_size': '4096', 'dns.resp.ext_rcode': '0x00', 'dns.resp.edns0_version': '0', 'dns.resp.z': '0x8000', 'dns.resp.z_tree': {'dns.resp.z.do': '1', 'dns.resp.z.reserved': '0x0000'}, 'dns.resp.len': '0'}}",,,,,
210,"Nov 14, 2025 21:56:53.982476000 +06","Nov 14, 2025 15:56:53.982476000 UTC",1763135813.982476000,0.000000000,0.092086000,0.092086000,0.092086000,2,109,109,0,0,sll:ethertype:ip:udp:dns,0x0800,2,1,0,6,b4:0f:3b:d1:2b:30,00:00,4,20,0x00,"{'ip.dsfield.dscp': '0', 'ip.dsfield.ecn': '0'}",89,0x0000,0x02,"{'ip.flags.rb': '0', 'ip.flags.df': '1', 'ip.flags.mf': '0'}",0,50,17,0xfbcc,2,152.42.243.83,192.168.0.161,152.42.243.83,192.168.0.161,192.168.0.161,192.168.0.161,53,50207,50207,69,0xf544,2,0,"{'udp.time_relative': '0.092086000', 'udp.time_delta': '0.092086000'}",cc:1f:84:00:00:01:00:01:00:00:00:00:08:70:61:61:61:62:7a:70:61:06:74:75:6e:6e:65:6c:0a:64:65:76:67:6f:73:73:69:70:73:02:6d:65:00:00:0a:00:01:c0:0c:00:0a:00:01:00:00:00:00:00:02:90:00,0xcc1f,0x8400,"{'dns.flags.response': '1', 'dns.flags.opcode': '0', 'dns.flags.authoritative': '1', 'dns.flags.truncated': '0', 'dns.flags.recdesired': '0', 'dns.flags.recavail': '0', 'dns.flags.z': '0', 'dns.flags.authenticated': '0', 'dns.flags.checkdisable': '0', 'dns.flags.rcode': '0'}",1,1,0,0,"{'paaabzpa.tunnel.devgossips.me: type NULL, class IN': {'dns.qry.name': 'paaabzpa.tunnel.devgossips.me', 'dns.qry.name.len': '29', 'dns.count.labels': '4', 'dns.qry.type': '10', 'dns.qry.class': '0x0001'}}",,"{'paaabzpa.tunnel.devgossips.me: type NULL, class IN': {'dns.resp.name': 'paaabzpa.tunnel.devgossips.me', 'dns.resp.type': '10', 'dns.resp.class': '0x0001', 'dns.resp.ttl': '0', 'dns.resp.len': '2', 'dns.null': '90:00'}}",1,,,
210,"Nov 14, 2025 21:56:54.584787000 +06","Nov 14, 2025 15:56:54.584787000 UTC",1763135814.584787000,0.000000000,0.602311000,0.602311000,0.694397000,3,86,86,0,0,sll:ethertype:ip:udp:dns,0x0800,2,1,4,6,40:9f:38:88:5e:ad,00:00,4,20,0x00,"{'ip.dsfield.dscp': '0', 'ip.dsfield.ecn': '0'}",66,0xe46f,0x02,"{'ip.flags.rb': '0', 'ip.flags.df': '1', 'ip.flags.mf': '0'}",0,64,17,0xd448,2,192.168.0.161,192.168.0.1,192.168.0.161,192.168.0.1,192.168.0.1,192.168.0.1,49410,53,53,46,0x2872,2,1,"{'udp.time_relative': '0.000000000', 'udp.time_delta': '0.000000000'}",3f:2e:01:00:00:01:00:00:00:00:00:00:01:61:03:6e:65:6c:0a:63:6c:6f:75:64:66:6c:61:72:65:03:63:6f:6d:00:00:01:00:01,0x3f2e,0x0100,"{'dns.flags.response': '0', 'dns.flags.opcode': '0', 'dns.flags.truncated': '0', 'dns.flags.recdesired': '1', 'dns.flags.z': '0', 'dns.flags.checkdisable': '0'}",1,0,0,0,"{'a.nel.cloudflare.com: type A, class IN': {'dns.qry.name': 'a.nel.cloudflare.com', 'dns.qry.name.len': '20', 'dns.count.labels': '4', 'dns.qry.type': '1', 'dns.qry.class': '0x0001'}}",,,,,,
210,"Nov 14, 2025 21:56:54.584916000 +06","Nov 14, 2025 15:56:54.584916000 UTC",1763135814.584916000,0.000000000,0.000129000,0.000129000,0.694526000,4,86,86,0,0,sll:ethertype:ip:udp:dns,0x0800,2,1,4,6,40:9f:38:88:5e:ad,00:00,4,20,0x00,"{'ip.dsfield.dscp': '0', 'ip.dsfield.ecn': '0'}",66,0x68e1,0x02,"{'ip.flags.rb': '0', 'ip.flags.df': '1', 'ip.flags.mf': '0'}",0,64,17,0x4fd7,2,192.168.0.161,192.168.0.1,192.168.0.161,192.168.0.1,192.168.0.1,192.168.0.1,40872,53,53,46,0x83de,2,2,"{'udp.time_relative': '0.000000000', 'udp.time_delta': '0.000000000'}",04:dc:01:00:00:01:00:00:00:00:00:00:01:61:03:6e:65:6c:0a:63:6c:6f:75:64:66:6c:61:72:65:03:63:6f:6d:00:00:41:00:01,0x04dc,0x0100,"{'dns.flags.response': '0', 'dns.flags.opcode': '0', 'dns.flags.truncated': '0', 'dns.flags.recdesired': '1', 'dns.flags.z': '0', 'dns.flags.checkdisable': '0'}",1,0,0,0,"{'a.nel.cloudflare.com: type HTTPS, class IN': {'dns.qry.name': 'a.nel.cloudflare.com', 'dns.qry.name.len': '20', 'dns.count.labels': '4', 'dns.qry.type': '65', 'dns.qry.class': '0x0001'}}",,,,,,
210,"Nov 14, 2025 21:56:54.595916000 +06","Nov 14, 2025 15:56:54.595916000 UTC",1763135814.595916000,0.000000000,0.011000000,0.011000000,0.705526000,5,102,102,0,0,sll:ethertype:ip:udp:dns,0x0800,2,1,0,6,b4:0f:3b:d1:2b:30,00:00,4,20,0x00,"{'ip.dsfield.dscp': '0', 'ip.dsfield.ecn': '0'}",82,0x1d28,0x02,"{'ip.flags.rb': '0', 'ip.flags.df': '1', 'ip.flags.mf': '0'}",0,64,17,0x9b80,2,192.168.0.1,192.168.0.161,192.168.0.1,192.168.0.161,192.168.0.161,192.168.0.161,53,49410,49410,62,0x6073,2,1,"{'udp.time_relative': '0.011129000', 'udp.time_delta': '0.011129000'}",3f:2e:81:80:00:01:00:01:00:00:00:00:01:61:03:6e:65:6c:0a:63:6c:6f:75:64:66:6c:61:72:65:03:63:6f:6d:00:00:01:00:01:c0:0c:00:01:00:01:00:00:13:8b:00:04:23:be:50:01,0x3f2e,0x8180,"{'dns.flags.response': '1', 'dns.flags.opcode': '0', 'dns.flags.authoritative': '0', 'dns.flags.truncated': '0', 'dns.flags.recdesired': '1', 'dns.flags.recavail': '1', 'dns.flags.z': '0', 'dns.flags.authenticated': '0', 'dns.flags.checkdisable': '0', 'dns.flags.rcode': '0'}",1,1,0,0,"{'a.nel.cloudflare.com: type A, class IN': {'dns.qry.name': 'a.nel.cloudflare.com', 'dns.qry.name.len': '20', 'dns.count.labels': '4', 'dns.qry.type': '1', 'dns.qry.class': '0x0001'}}",,"{'a.nel.cloudflare.com: type A, class IN, addr 35.190.80.1': {'dns.resp.name': 'a.nel.cloudflare.com', 'dns.resp.type': '1', 'dns.resp.class': '0x0001', 'dns.resp.ttl': '5003', 'dns.resp.len': '4', 'dns.a': '35.190.80.1'}}",,3,0.011129000,
210,"Nov 14, 2025 21:56:54.597975000 +06","Nov 14, 2025 15:56:54.597975000 UTC",1763135814.597975000,0.000000000,0.002059000,0.002059000,0.707585000,6,137,137,0,0,sll:ethertype:ip:udp:dns,0x0800,2,1,0,6,b4:0f:3b:d1:2b:30,00:00,4,20,0x00,"{'ip.dsfield.dscp': '0', 'ip.dsfield.ecn': '0'}",117,0x1d29,0x02,"{'ip.flags.rb': '0', 'ip.flags.df': '1', 'ip.flags.mf': '0'}",0,64,17,0x9b5c,2,192.168.0.1,192.168.0.161,192.168.0.1,192.168.0.161,192.168.0.161,192.168.0.161,53,40872,40872,97,0x39cc,2,2,"{'udp.time_relative': '0.013059000', 'udp.time_delta': '0.013059000'}",04:dc:81:80:00:01:00:00:00:01:00:00:01:61:03:6e:65:6c:0a:63:6c:6f:75:64:66:6c:61:72:65:03:63:6f:6d:00:00:41:00:01:c0:0e:00:06:00:01:00:00:00:11:00:27:07:63:6f:6c:65:6d:61:6e:02:6e:73:c0:12:03:64:6e:73:c0:12:8e:5c:d0:fa:00:00:27:10:00:00:09:60:00:09:3a:80:00:00:07:08,0x04dc,0x8180,"{'dns.flags.response': '1', 'dns.flags.opcode': '0', 'dns.flags.authoritative': '0', 'dns.flags.truncated': '0', 'dns.flags.recdesired': '1', 'dns.flags.recavail': '1', 'dns.flags.z': '0', 'dns.flags.authenticated': '0', 'dns.flags.checkdisable': '0', 'dns.flags.rcode': '0'}",1,0,1,0,"{'a.nel.cloudflare.com: type HTTPS, class IN': {'dns.qry.name': 'a.nel.cloudflare.com', 'dns.qry.name.len': '20', 'dns.count.labels': '4', 'dns.qry.type': '65', 'dns.qry.class': '0x0001'}}",,,,4,0.013059000,"{'nel.cloudflare.com: type SOA, class IN, mname coleman.ns.cloudflare.com': {'dns.resp.name': 'nel.cloudflare.com', 'dns.resp.type': '6', 'dns.resp.class': '0x0001', 'dns.resp.ttl': '17', 'dns.resp.len': '39', 'dns.soa.mname': 'coleman.ns.cloudflare.com', 'dns.soa.rname': 'dns.cloudflare.com', 'dns.soa.serial_number': '2388447482', 'dns.soa.refresh_interval': '10000', 'dns.soa.retry_interval': '2400', 'dns.soa.expire_limit': '604800', 'dns.soa.minimum_ttl': '1800'}}"
210,"Nov 14, 2025 21:56:57.986469000 +06","Nov 14, 2025 15:56:57.986469000 UTC",1763135817.986469000,0.000000000,3.388494000,3.388494000,4.096079000,7,106,106,0,0,sll:ethertype:ip:udp:dns,0x0800,2,1,4,6,40:9f:38:88:5e:ad,00:00,4,20,0x00,"{'ip.dsfield.dscp': '0', 'ip.dsfield.ecn': '0'}",86,0x0000,0x02,"{'ip.flags.rb': '0', 'ip.flags.df': '1', 'ip.flags.mf': '0'}",0,64,17,0xedcf,2,192.168.0.161,152.42.243.83,192.168.0.161,152.42.243.83,152.42.243.83,152.42.243.83,50207,53,53,66,0xb614,2,0,"{'udp.time_relative': '4.096079000', 'udp.time_delta': '4.003993000'}",08:7d:01:00:00:01:00:00:00:00:00:01:08:70:61:61:61:62:7a:70:71:06:74:75:6e:6e:65:6c:0a:64:65:76:67:6f:73:73:69:70:73:02:6d:65:00:00:0a:00:01:00:00:29:10:00:00:00:80:00:00:00,0x087d,0x0100,"{'dns.flags.response': '0', 'dns.flags.opcode': '0', 'dns.flags.truncated': '0', 'dns.flags.recdesired': '1', 'dns.flags.z': '0', 'dns.flags.checkdisable': '0'}",1,0,0,1,"{'paaabzpq.tunnel.devgossips.me: type NULL, class IN': {'dns.qry.name': 'paaabzpq.tunnel.devgossips.me', 'dns.qry.name.len': '29', 'dns.count.labels': '4', 'dns.qry.type': '10', 'dns.qry.class': '0x0001'}}","{'<Root>: type OPT': {'dns.resp.name': '<Root>', 'dns.resp.type': '41', 'dns.rr.udp_payload_size': '4096', 'dns.resp.ext_rcode': '0x00', 'dns.resp.edns0_version': '0', 'dns.resp.z': '0x8000', 'dns.resp.z_tree': {'dns.resp.z.do': '1', 'dns.resp.z.reserved': '0x0000'}, 'dns.resp.len': '0'}}",,,,,
210,"Nov 14, 2025 21:56:58.078679000 +06","Nov 14, 2025 15:56:58.078679000 UTC",1763135818.078679000,0.000000000,0.092210000,0.092210000,4.188289000,8,109,109,0,0,sll:ethertype:ip:udp:dns,0x0800,2,1,0,6,b4:0f:3b:d1:2b:30,00:00,4,20,0x00,"{'ip.dsfield.dscp': '0', 'ip.dsfield.ecn': '0'}",89,0x0000,0x02,"{'ip.flags.rb': '0', 'ip.flags.df': '1', 'ip.flags.mf': '0'}",0,50,17,0xfbcc,2,152.42.243.83,192.168.0.161,152.42.243.83,192.168.0.161,192.168.0.161,192.168.0.161,53,50207,50207,69,0xcf15,2,0,"{'udp.time_relative': '4.188289000', 'udp.time_delta': '0.092210000'}",ea:4e:84:00:00:01:00:01:00:00:00:00:08:70:61:61:61:62:7a:70:69:06:74:75:6e:6e:65:6c:0a:64:65:76:67:6f:73:73:69:70:73:02:6d:65:00:00:0a:00:01:c0:0c:00:0a:00:01:00:00:00:00:00:02:90:00,0xea4e,0x8400,"{'dns.flags.response': '1', 'dns.flags.opcode': '0', 'dns.flags.authoritative': '1', 'dns.flags.truncated': '0', 'dns.flags.recdesired': '0', 'dns.flags.recavail': '0', 'dns.flags.z': '0', 'dns.flags.authenticated': '0', 'dns.flags.checkdisable': '0', 'dns.flags.rcode': '0'}",1,1,0,0,"{'paaabzpi.tunnel.devgossips.me: type NULL, class IN': {'dns.qry.name': 'paaabzpi.tunnel.devgossips.me', 'dns.qry.name.len': '29', 'dns.count.labels': '4', 'dns.qry.type': '10', 'dns.qry.class': '0x0001'}}",,"{'paaabzpi.tunnel.devgossips.me: type NULL, class IN': {'dns.resp.name': 'paaabzpi.tunnel.devgossips.me', 'dns.resp.type': '10', 'dns.resp.class': '0x0001', 'dns.resp.ttl': '0', 'dns.resp.len': '2', 'dns.null': '90:00'}}",,1,4.188289000,
210,"Nov 14, 2025 21:57:00.441504000 +06","Nov 14, 2025 15:57:00.441504000 UTC",1763135820.441504000,0.000000000,2.362825000,2.362825000,6.551114000,9,180,180,0,0,sll:ethertype:ip:udp:dns,0x0800,2,1,4,6,40:9f:38:88:5e:ad,00:00,4,20,0x00,"{'ip.dsfield.dscp': '0', 'ip.dsfield.ecn': '0'}",160,0x0000,0x02,"{'ip.flags.rb': '0', 'ip.flags.df': '1', 'ip.flags.mf': '0'}",0,64,17,0xed85,2,192.168.0.161,152.42.243.83,192.168.0.161,152.42.243.83,152.42.243.83,152.42.243.83,50207,53,53,140,0x9291,2,0,"{'udp.time_relative': '6.551114000', 'udp.time_delta': '2.362825000'}",26:ac:01:00:00:01:00:00:00:00:00:01:3e:30:69:61:62:62:38:32:ca:32:68:62:be:ee:59:d6:77:67:6a:cb:e0:de:34:79:6b:32:c5:6e:c2:de:57:61:ca:53:30:d2:52:c8:4d:f8:ed:ec:d4:d6:e2:61:de:be:d2:ed:f6:d3:44:76:47:63:49:df:58:43:53:4d:68:13:52:d5:f5:58:f7:cc:bf:ef:4a:7a:ca:e5:57:61:e6:eb:63:f5:61:06:74:75:6e:6e:65:6c:0a:64:65:76:67:6f:73:73:69:70:73:02:6d:65:00:00:0a:00:01:00:00:29:10:00:00:00:80:00:00:00,0x26ac,0x0100,"{'dns.flags.response': '0', 'dns.flags.opcode': '0', 'dns.flags.truncated': '0', 'dns.flags.recdesired': '1', 'dns.flags.z': '0', 'dns.flags.checkdisable': '0'}",1,0,0,1,"{'0iabb82�2hb��Y�wgj���4yk2�n��Wa�S0�R�M������a\\u07BE����DvGcI�XCSMh.R��X�̿�Jz��Wa��c�a.tunnel.devgossips.me: type NULL, class IN': {'dns.qry.name': '0iabb82�2hb��Y�wgj���4yk2�n��Wa�S0�R�M������a\\u07BE����DvGcI�XCSMh.R��X�̿�Jz��Wa��c�a.tunnel.devgossips.me', 'dns.qry.name.len': '103', 'dns.count.labels': '5', 'dns.qry.type': '10', 'dns.qry.class': '0x0001'}}","{'<Root>: type OPT': {'dns.resp.name': '<Root>', 'dns.resp.type': '41', 'dns.rr.udp_payload_size': '4096', 'dns.resp.ext_rcode': '0x00', 'dns.resp.edns0_version': '0', 'dns.resp.z': '0x8000', 'dns.resp.z_tree': {'dns.resp.z.do': '1', 'dns.resp.z.reserved': '0x0000'}, 'dns.resp.len': '0'}}",,,,,
210,"Nov 14, 2025 21:57:00.537431000 +06","Nov 14, 2025 15:57:00.537431000 UTC",1763135820.537431000,0.000000000,0.095927000,0.095927000,6.647041000,10,109,109,0,0,sll:ethertype:ip:udp:dns,0x0800,2,1,0,6,b4:0f:3b:d1:2b:30,00:00,4,20,0x00,"{'ip.dsfield.dscp': '0', 'ip.dsfield.ecn': '0'}",89,0x0000,0x02,"{'ip.flags.rb': '0', 'ip.flags.df': '1', 'ip.flags.mf': '0'}",0,50,17,0xfbcc,2,152.42.243.83,192.168.0.161,152.42.243.83,192.168.0.161,192.168.0.161,192.168.0.161,53,50207,50207,69,0xa8d7,2,0,"{'udp.time_relative': '6.647041000', 'udp.time_delta': '0.095927000'}",08:7d:84:00:00:01:00:01:00:00:00:00:08:70:61:61:61:62:7a:70:71:06:74:75:6e:6e:65:6c:0a:64:65:76:67:6f:73:73:69:70:73:02:6d:65:00:00:0a:00:01:c0:0c:00:0a:00:01:00:00:00:00:00:02:a0:00,0x087d,0x8400,"{'dns.flags.response': '1', 'dns.flags.opcode': '0', 'dns.flags.authoritative': '1', 'dns.flags.truncated': '0', 'dns.flags.recdesired': '0', 'dns.flags.recavail': '0', 'dns.flags.z': '0', 'dns.flags.authenticated': '0', 'dns.flags.checkdisable': '0', 'dns.flags.rcode': '0'}",1,1,0,0,"{'paaabzpq.tunnel.devgossips.me: type NULL, class IN': {'dns.qry.name': 'paaabzpq.tunnel.devgossips.me', 'dns.qry.name.len': '29', 'dns.count.labels': '4', 'dns.qry.type': '10', 'dns.qry.class': '0x0001'}}",,"{'paaabzpq.tunnel.devgossips.me: type NULL, class IN': {'dns.resp.name': 'paaabzpq.tunnel.devgossips.me', 'dns.resp.type': '10', 'dns.resp.class': '0x0001', 'dns.resp.ttl': '0', 'dns.resp.len': '2', 'dns.null': 'a0:00'}}",,7,2.550962000,
